model,horizon,observations,mae,rmse,mse_variance,variance_bias,mean_qlike,mz_intercept,mz_slope,mz_r_squared,directional_accuracy_vs_market_iv,directional_observations
ewma,1,1094,9.457518965936119,12.766818621572645,0.009262760695390733,0.0007191549528539628,1.630814285895233,0.0098340727037973,0.6557400577659036,0.057519826766945226,,0.0
ewma,2,1093,8.803101499667521,12.297938932531823,0.011244087716521295,-0.00204507009134181,1.492018957520494,0.006507453766339189,0.8467575472550422,0.060698744440881525,,0.0
ewma,3,1092,6.827190406638061,9.922388268124227,0.005557912619589893,-0.00148633875767116,0.8143405912465734,0.008185112441465877,0.7705454101713697,0.09947776184447876,,0.0
ewma,5,1090,5.990540747896626,8.996961993323657,0.004049742579082289,0.0001727958872190534,0.5049852936812332,0.012184994008846357,0.6007709071793289,0.08597317189247267,,0.0
ewma,10,1085,5.534510400971155,8.370841903056505,0.002612890666867684,0.002096617609821104,0.38405331569772905,0.015173377877149313,0.4712157009366324,0.0797937496708323,,0.0
fixed_blend,1,1094,9.357011515546231,12.737516994083176,0.009636473188863072,0.0007070726099114725,1.6555826311874862,0.014408798227378236,0.5067063054713943,0.05738307026119327,,0.0
fixed_blend,2,1093,8.88643580919802,12.483393141321475,0.011606649350651838,-0.0005131771091125553,1.48903936358521,0.013467211843966648,0.5773789390700284,0.060357689435221684,,0.0
fixed_blend,3,1092,6.9672826943675545,10.142901791895508,0.0060478568264347955,-2.1228991425450665e-05,0.8131364127899863,0.014913698220901307,0.514261580504122,0.0936680533381451,,0.0
fixed_blend,5,1090,5.792092350189225,8.921143068249195,0.004551471532734272,-0.0001069117959212179,0.5568112528805977,0.01754918821791303,0.43137395365150105,0.09482505983129685,,0.0
fixed_blend,10,1085,5.1791292112756215,8.192387405175491,0.003317066691803375,0.00013162364012134117,0.4391570141836047,0.020582601720770862,0.3251556098236433,0.09008050211292651,,0.0
garch_11,1,1094,9.511324071087024,12.586849740185102,0.009219974468017362,-0.0006390518807934288,1.6008584389957887,0.007343763825945013,0.7711438117558114,0.0505326286759612,,0.0
garch_11,2,1093,9.006008946564188,12.346559007593594,0.011314550175409077,-0.0018707885505275697,1.391239998283457,0.005101003782528189,0.889731327698959,0.0535755883262633,,0.0
garch_11,3,1092,7.019282369874865,9.999063158848351,0.005639242458425382,-0.0013903502736924967,0.7196926725042547,0.007340402432249239,0.7968594445249181,0.082672263345975,,0.0
garch_11,5,1090,5.874198068166351,8.706752084492503,0.004000496463357232,-0.001500852683896978,0.46417574471299167,0.011287437247499211,0.6657642382952131,0.08036062591915616,,0.0
garch_11,10,1085,5.193914398848259,7.792397158434616,0.002535882180958216,-0.0012851571143348822,0.34252919044251573,0.01548712927439226,0.5149274416962677,0.07434830968002881,,0.0
